pitcher_key,pitcher,teams,encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
karlynpickens,Karlyn Pickens,"[""Blaze""]",3+,22,4,20,6,1,1,4,0,0.3,0.36363636363636365,0.3,0.6636363636363636,0.18181818181818182,0.045454545454545456,0.0,0.321825678982338,0.26340517520861906,0.3802461827560569,-0.04540318737674284,-0.09908350445493379,0.008277129701448102
katsandercock,Kat Sandercock,"[""Bandits""]",1,27,3,26,7,0,1,5,0,0.2692307692307692,0.2962962962962963,0.2692307692307692,0.5655270655270654,0.18518518518518517,0.0,0.0,0.2680185034293162,0.09911182809823552,0.43692517876039694,-0.12339703271710475,-0.32768631533504733,0.08089224990083782
katsandercock,Kat Sandercock,"[""Bandits""]",2,21,3,19,6,2,0,3,1,0.3157894736842105,0.38095238095238093,0.5263157894736842,0.9072681704260651,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.37903341463115864,-0.009146719600196085,0.7672135488625134,0.09859017142624163,-0.24455272334164882,0.4417330661941321
katsandercock,Kat Sandercock,"[""Bandits""]",3+,5,1,5,1,0,0,0,1,0.2,0.2,0.8,1.0,0.0,0.0,0.2,0.3838089645959675,,,0.02115075940606519,,
keilaniricketts,Keilani Ricketts,"[""Blaze""]",1,159,21,133,35,12,9,31,2,0.2631578947368421,0.358974358974359,0.3609022556390977,0.7198766146134568,0.1949685534591195,0.07547169811320754,0.012578616352201259,0.3343103303723371,0.2557651705267683,0.4128554902179059,-0.02253870750708072,-0.0912313172173695,0.04615390220320807
keilaniricketts,Keilani Ricketts,"[""Blaze""]",2,56,12,54,13,1,1,12,1,0.24074074074074073,0.26785714285714285,0.3148148148148148,0.5826719576719577,0.21428571428571427,0.017857142857142856,0.017857142857142856,0.2645922836645484,0.19088423236037438,0.3383003349687224,-0.09964217677142526,-0.16550029739101896,-0.033784056151831554
keilaniricketts,Keilani Ricketts,"[""Blaze""]",3+,2,2,2,1,0,0,0,0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.4624071483363548,-0.4439108624029006,1.3687251590756102,0.061572481785987926,-0.8231614309323811,0.946306394504357
kellymaxwell,Kelly Maxwell,"[""Cascade""]",1,45,6,33,11,7,3,10,0,0.3333333333333333,0.4666666666666667,0.3939393939393939,0.8606060606060606,0.2222222222222222,0.15555555555555556,0.0,0.40841906649044746,0.28762157724939674,0.5292165557314982,0.06576663034378279,-0.05323759722148039,0.18477085790904596
kellymaxwell,Kelly Maxwell,"[""Cascade""]",2,28,4,24,7,3,0,2,1,0.2916666666666667,0.37037037037037035,0.4583333333333333,0.8287037037037037,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.37194229158078146,0.223321463163698,0.5205631199978649,0.02389266256716422,-0.1902226118055171,0.23800793693984554
kellymaxwell,Kelly Maxwell,"[""Cascade""]",3+,10,2,9,2,0,1,0,0,0.2222222222222222,0.3,0.2222222222222222,0.5222222222222221,0.0,0.0,0.0,0.261242810922799,-0.1954874398353964,0.7179730616809944,-0.09763731672028968,-0.5161563332462489,0.3208816998056695
kenziebrown,Kenzie Brown,"[""Cascade""]",1,46,5,35,5,6,4,11,0,0.14285714285714285,0.32608695652173914,0.22857142857142856,0.5546583850931677,0.2391304347826087,0.13043478260869565,0.0,0.28083384298634406,0.129325426065985,0.43234225990670316,-0.05811055990276166,-0.21480142064284852,0.09858030083732518
kenziebrown,Kenzie Brown,"[""Cascade""]",2,32,5,27,8,5,0,9,0,0.2962962962962963,0.40625,0.3333333333333333,0.7395833333333333,0.28125,0.15625,0.0,0.3596870289509968,0.17425969089286233,0.5451143670091313,-0.017474758425338358,-0.19155181091207513,0.15660229406139842
kenziebrown,Kenzie Brown,"[""Cascade""]",3+,29,3,24,7,4,0,3,1,0.2916666666666667,0.3793103448275862,0.5,0.8793103448275862,0.10344827586206896,0.13793103448275862,0.034482758620689655,0.3682683649024385,0.2982695717868295,0.43826715801804755,0.0499890259013491,-0.045480130251816756,0.14545818205451494
laurenderkowski,Lauren Derkowski,"[""Talons""]",1,25,3,22,9,2,0,1,1,0.4090909090909091,0.44,0.5909090909090909,1.030909090909091,0.04,0.08,0.04,0.4449436329733564,0.35846308101804364,0.5314241849286692,0.15256636063259044,0.02763967272193585,0.277493048543245
laurenderkowski,Lauren Derkowski,"[""Talons""]",2,6,1,6,3,0,0,0,1,0.5,0.5,1.3333333333333333,1.8333333333333333,0.0,0.0,0.16666666666666666,0.717803017583269,,,0.3298556430328286,,
lexikilfoyl,Lexi Kilfoyl,"[""Bandits""]",1,179,21,166,42,10,3,29,6,0.25301204819277107,0.30726256983240224,0.39759036144578314,0.7048529312781854,0.16201117318435754,0.055865921787709494,0.0335195530726257,0.31407935752376676,0.260120827102837,0.3680378879446965,-0.059622388459777305,-0.11013765954106383,-0.009107117378490778
lexikilfoyl,Lexi Kilfoyl,"[""Bandits""]",2,113,16,107,26,3,2,14,3,0.24299065420560748,0.2767857142857143,0.40186915887850466,0.678654873164219,0.12389380530973451,0.02654867256637168,0.02654867256637168,0.2931827888617236,0.19280792857553458,0.39355764914791264,-0.07280188703245191,-0.15843642395805038,0.012832649893146558
lexikilfoyl,Lexi Kilfoyl,"[""Bandits""]",3+,23,6,22,5,1,0,4,1,0.22727272727272727,0.2608695652173913,0.45454545454545453,0.7154150197628458,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.30108375393641923,0.02682487829835145,0.575342629574487,-0.027709515272200447,-0.2688766463963803,0.2134576158519794
lyndseygrein,Lyndsey Grein,"[""Spark""]",1,55,7,54,19,0,0,6,2,0.35185185185185186,0.35185185185185186,0.5370370370370371,0.888888888888889,0.10909090909090909,0.0,0.03636363636363636,0.3821522605137862,0.2589030212109722,0.5054014998166002,-0.00897607962528895,-0.12875846733707677,0.11080630808649886
lyndseygrein,Lyndsey Grein,"[""Spark""]",2,8,3,6,0,2,0,0,0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.19211991042315207,0.05091177626213533,0.3333280445841688,-0.16184298339390532,-0.29086861483989435,-0.03281735194791627
maddiepenta,Maddie Penta,"[""Spark""]",1,30,4,21,8,6,3,4,3,0.38095238095238093,0.5666666666666667,0.9047619047619048,1.4714285714285715,0.13333333333333333,0.2,0.1,0.5939542346426927,0.3916655232998043,0.7962429459855811,0.1823193477031256,-0.017520291856340436,0.3821589872625917
maddiepenta,Maddie Penta,"[""Spark""]",2,8,1,8,2,0,0,0,0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.2312035741681774,,,-0.12479921133994519,,
mariahlopez,Mariah Lopez,"[""Bandits"", ""Talons""]",1,81,12,73,28,4,1,8,6,0.3835616438356164,0.4177215189873418,0.7671232876712328,1.1848448066585746,0.09876543209876543,0.04938271604938271,0.07407407407407407,0.4792734434542514,0.33318625839231875,0.625360628516184,0.09950614315370039,-0.03532469736156581,0.2343369836689666
mariahlopez,Mariah Lopez,"[""Bandits"", ""Talons""]",2,17,4,15,6,2,0,2,2,0.4,0.47058823529411764,1.0,1.4705882352941178,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.5709714997857692,0.24655517878702,0.8953878207845185,0.18918028329024922,-0.11280369860981737,0.4911642651903158
mariahmazon,Mariah Mazón,"[""Cascade"", ""Volts""]",1,59,10,51,17,4,4,7,4,0.3333333333333333,0.423728813559322,0.6274509803921569,1.0511797939514789,0.11864406779661017,0.06779661016949153,0.06779661016949153,0.4484083247336888,0.34239736113281927,0.5544192883345583,0.08589702194894805,-0.012361773311903523,0.18415581720979962
