ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
4,0.0,0,position_label_only_no_defensive_innings,4,Sydney McKinney,sydneymckinney,2B,4,2025,AUSL Bandits
9,15.0,45,confirmed_clean_team_games_only,25,Sydney McKinney,sydneymckinney,3B,11,2025,AUSL Bandits
1,0.0,0,position_label_only_no_defensive_innings,0,Sydney Romero,sydneyromero,2B,1,2025,AUSL Talons
15,0.0,0,position_label_only_no_defensive_innings,34,Sydney Romero,sydneyromero,3B,15,2025,AUSL Talons
8,0.0,0,position_label_only_no_defensive_innings,1,Taylor Edwards,tayloredwards,C,8,2025,AUSL Blaze
9,7.0,21,confirmed_clean_team_games_only,12,Tiare Jennings,tiarejennings,1B,10,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Tiare Jennings,tiarejennings,2B,1,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,1,Tiare Jennings,tiarejennings,3B,1,2025,AUSL Volts
6,0.0,0,position_label_only_no_defensive_innings,29,Tiare Jennings,tiarejennings,SS,6,2025,AUSL Volts
16,0.0,0,position_label_only_no_defensive_innings,14,Tori Vidales,torividales,1B,16,2025,AUSL Talons
1,0.0,0,position_label_only_no_defensive_innings,3,Tori Vidales,torividales,3B,1,2025,AUSL Talons
5,0.0,0,position_label_only_no_defensive_innings,16,Victoria Hayward,victoriahayward,CF,5,2025,AUSL Talons
2,0.0,0,position_label_only_no_defensive_innings,2,Victoria Hayward,victoriahayward,LF,2,2025,AUSL Talons
9,0.0,0,position_label_only_no_defensive_innings,13,Victoria Hayward,victoriahayward,RF,9,2025,AUSL Talons
15,0.0,0,position_label_only_no_defensive_innings,36,Ailana Agbayani,ailanaagbayani,2B,15,2026,Chicago Bandits
1,0.0,0,position_label_only_no_defensive_innings,2,Aleshia Ocasio,aleshiaocasio,1B,1,2026,Carolina Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Aleshia Ocasio,aleshiaocasio,CF,1,2026,Carolina Blaze
10,0.0,0,position_label_only_no_defensive_innings,17,Aleshia Ocasio,aleshiaocasio,RF,10,2026,Carolina Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Ali Newland,alinewland,3B,1,2026,Portland Cascade
1,0.0,0,position_label_only_no_defensive_innings,2,Ali Newland,alinewland,LF,1,2026,Portland Cascade
2,0.0,0,position_label_only_no_defensive_innings,2,Ali Newland,alinewland,RF,2,2026,Portland Cascade
10,0.0,0,position_label_only_no_defensive_innings,29,Aliyah Andrews,aliyahandrews,CF,10,2026,Utah Talons
4,0.0,0,position_label_only_no_defensive_innings,13,Aliyah Andrews,aliyahandrews,LF,4,2026,Utah Talons
3,0.0,0,position_label_only_no_defensive_innings,4,Aliyah Andrews,aliyahandrews,RF,3,2026,Utah Talons
6,0.0,0,position_label_only_no_defensive_innings,2,Aliyah Binford,aliyahbinford,1B,6,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Aliyah Binford,aliyahbinford,3B,1,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,2,Alyssa Brito,alyssabrito,3B,1,2026,Carolina Blaze
12,7.0,21,confirmed_clean_team_games_only,37,Alyssa Brito,alyssabrito,SS,13,2026,Carolina Blaze
