player,sb_cs_attempts,sb_cs_runs,advancement_opportunities,runner_advancement_opportunities,batter_advancement_opportunities,non_steal_advancement_runs,batter_advancement_runs,runner_advancement_runs,baserunning_runs,teams,coverage,player_key
Devyn Netz,0,0.22878039797325647,36,23,13,1.0192787885371088,0.41420809797573444,0.6050706905613744,1.2480591865103654,Bandits|Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,devynnetz
Ana Gold,2,-0.9955335733714725,62,39,23,3.3871862497865526,3.711374596449677,-0.32418834666312435,2.39165267641508,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,anagold
Korbe Otis,0,0.4026535004329314,68,42,26,0.2292772996180241,0.338914182314278,-0.1096368826962539,0.6319308000509555,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,korbeotis
Aubrey Leach,1,-0.1018423801350013,84,54,30,-1.4232860062769965,0.47922723816272805,-1.9025132444397246,-1.5251283864119978,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aubreyleach
Tiare Jennings,0,0.22878039797325647,32,20,12,0.480715544984388,1.7563440329442719,-1.2756284879598838,0.7094959429576445,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,tiarejennings
Bri Ellis,0,0.24708282981111698,34,27,7,-1.134513033092981,-0.4021115687259182,-0.7324014643670627,-0.887430203281864,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,briellis
Sahvanna Jaquish,0,0.10066337510823285,17,13,4,0.5710338842597461,0.3608563028160266,0.2101775814437195,0.671697259367979,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sahvannajaquish
McKenzie Clark,0,0.22878039797325647,35,26,9,-0.19462799000613945,-0.24517201587981222,0.050544025873672765,0.03415240796711702,Blaze|Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mckenzieclark
Erin Coffel,1,-0.28598539216797275,71,52,19,1.0526998449442277,0.8742106753552196,0.17848916958900818,0.766714452776255,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,erincoffel
Dejah Mulipola,0,0.12811702286502363,17,9,8,0.7865760772389436,0.7833470318816891,0.0032290453572545452,0.9146931001039673,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,dejahmulipola
Kelly Torres,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kellytorres
Miranda Stoddard,0,0.009151215918930259,2,1,1,-0.1908370724357878,-0.18702095269030636,-0.0038161197454814333,-0.18168585651685754,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mirandastoddard
Taylor Edwards,0,0.07320972735144207,16,11,5,-0.8277354359486524,-0.5355334940121699,-0.2922019419364825,-0.7545257085972104,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,tayloredwards
Kelsey Stewart-Hunter,0,0.04575607959465129,9,5,4,0.8080367473259374,0.4346868201330873,0.37334992719285015,0.8537928269205888,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kelseystewarthunter
Paige Sinicki,0,0.009151215918930259,5,5,0,0.1241036558811335,0,0.1241036558811335,0.13325487180006376,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,paigesinicki
Victoria Hayward,0,0.07320972735144207,14,9,5,1.7224396099662602,1.0911993829138127,0.6312402270524475,1.7956493373177023,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,victoriahayward
Caroline Jacobsen,1,-0.5262264073934974,72,47,25,1.9634192390041523,2.2874538724231246,-0.3240346334189723,1.437192831610655,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,carolinejacobsen
Sam Show,0,0.018302431837860518,1,0,1,-0.08379500927612511,-0.08379500927612511,0.0,-0.06549257743826459,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,samshow
Hannah Flippen,0,0.33859498900041957,55,36,19,2.527709402239205,1.8256047229873387,0.7021046792518661,2.866304391239624,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,hannahflippen
Ali Aguilar,0,0.28368769348683803,42,33,9,-0.4505911506799141,-0.23796121570749473,-0.2126299349724194,-0.1669034571930761,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aliaguilar
Sis Bates,0,0.1372682387839539,20,11,9,0.31627682162020126,-0.17384915165010156,0.49012597327030283,0.45354506040415515,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sisbates
Kayla Kowalik,2,-0.08562958347501176,47,31,16,2.0146300317772674,0.744068458077771,1.2705615736994964,1.9290004483022556,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kaylakowalik
