player_key,player,teams,PA,IP,batting_runs,hitting_runs,wRAA,batting_war,baserunning_runs,baserunning_component_runs,baserunning_war,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,range_runs,arm_runs,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,defense_runs,defense_war,defensive_war,offensive_war,arm_opportunities,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,position_war,RA7,ERA,FIP,ERA_minus_FIP,FIP_BF,opponent_expected_RA7,pitching_runs_above_average,ra7_pitching_runs_above_average,pitching_war,pitcher_range_runs,pitcher_arm_runs,pitcher_defense_runs,pitcher_defense_war,pitcher_war,total_war,quality_flags
amberfiser,Amber Fiser,Chicago Bandits,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.433333333333334,3.033333333333333,3.9948282624530727,-0.9614949291197394,136,4.80371467395871,1.5450814181412664,1.5968328740271776,0.5606611816310568,0.04371062818788412,0.008040827698026934,0.051751455885911055,0.005059938220632676,0.5657211198516895,0.5657211198516895,no_positional_adjustment|no_reliever_leverage_adjustment
aminahvega,Aminah Vega,Texas Volts,36,0.0,2.406174956802098,2.406174956802098,2.406174956802098,0.23526094910822967,-0.5656016476296399,-0.5656016476296399,-0.05530104120748346,0.14798892760173277,-0.7135905752313727,-0.47561231939156806,-0.23797825583980464,21,0.0,0,0.0,0.04960495807773448,0,0,0,0.0,0.0,0.04960495807773448,0.04960495807773448,0.004850066901765031,0.004850066901765031,0.3236101596075124,12,0.0,0.020763945982807043,1.4484456253690734,0.3284602265092774,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284602265092774,no_positional_adjustment
anagold,Ana Gold,Carolina Blaze,48,0.0,-1.5681666179835647,-1.5681666179835647,-1.5681666179835647,-0.15332566148763202,-1.1336951118548042,-0.996013646298802,-0.09738407221411258,0.1397673205127476,-1.2734624323675519,-0.5823698255666416,-0.6910926068009102,26,0.13768146555600227,1,0.0,0.06311697061893075,0,0,0,0.0,0.0,0.06311697061893075,0.06311697061893075,0.0061711881634661965,0.0061711881634661965,-0.059176064759389635,8,0.0,0.02768526131040939,1.9312608338254313,-0.053004876595923414,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053004876595923414,no_positional_adjustment
ashtonmaloney,Ashton Maloney,Portland Cascade,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.019011117323479623,0,0,0,0.0,0.0,0.019011117323479623,0.019011117323479623,0.0018587898159633206,0.0018587898159633206,0.0,3,0.0,0.0,0.0,0.0018587898159633206,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018587898159633206,no_positional_adjustment
aubreyleach,Aubrey Leach,Carolina Blaze,57,0.0,-2.477026770363189,-2.477026770363189,-2.477026770363189,-0.24218840251609614,-0.6388556571483253,-0.6388556571483253,-0.06246336652245292,0.18909696304665852,-0.8279526201949837,-0.35137544237233875,-0.47657717782264497,33,0.0,0,0.0,0.023027712590007618,0,0,0,0.0,0.0,0.023027712590007618,0.023027712590007618,0.0022515077319717526,0.0022515077319717526,-0.07720553716950254,8,0.0,0.03287624780611115,2.2933722401676997,-0.07495402943753077,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07495402943753077,no_positional_adjustment
bayleeklingler,Baylee Klingler,Carolina Blaze,24,0.0,-0.13097798659020182,-0.13097798659020182,-0.13097798659020182,-0.012806219826362458,0.2021894060057935,-0.1749480649321658,-0.01710534293619726,0.06577285671188123,0.13641654929391225,-0.2027742934582852,0.33919084275219746,14,-0.3771374709379593,1,0.0,0.13575429139661319,0,0,0,0.0,0.0,0.13575429139661319,0.13575429139661319,0.013273217456277096,0.013273217456277096,0.06585527170861775,9,0.0,0.013842630655204694,0.9656304169127157,0.07912848916489484,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07912848916489484,no_positional_adjustment
belladayton,Bella Dayton,Chicago Bandits,38,0.0,-0.35366351788045836,-0.35366351788045836,-0.35366351788045836,-0.034579037840245984,-1.9630834089931726,-1.9630834089931726,-0.1919381899777364,-0.44395953333649296,-1.5191238756566796,-0.3494349700335859,-1.1696889056230937,38,0.0,0,0.0,0.20319547484113118,0,0,0,0.0,0.0,0.20319547484113118,0.20319547484113118,0.019867200483690214,0.019867200483690214,-0.07488640657195138,9,0.0,0.02191749853740743,1.5289148267784665,-0.05501920608826115,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05501920608826115,no_positional_adjustment
billieandrews,Billie Andrews,Oklahoma City Spark,10,0.0,-3.2609021314084217,-3.2609021314084217,-3.2609021314084217,-0.31883090139205184,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2789280536957279,0,0.0,0.005767762773001956,0.4023460070469648,-0.2789280536957279,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2789280536957279,small_position_player_sample|no_positional_adjustment
bricopeland,Bri Copeland,Chicago Bandits,5,6.0,-1.6304510657042108,-1.6304510657042108,-1.6304510657042108,-0.15941545069602592,-0.532912110004091,-0.532912110004091,-0.05210485980514816,-0.532912110004091,0,0,0,0,0.0,0,0.0,0.0023724448928713893,0,0,0,0.0,0.0,0.0023724448928713893,0.0023724448928713893,0.0002319630314603932,0.0002319630314603932,-0.1915688866530121,2,0.0,0.002883881386500978,0.2011730035234824,-0.19133692362155172,9.333333333333332,8.166666666666668,6.820754188378999,1.3459124782876692,33,4.6850526468124345,-3.9827936210072217,-3.982343734177086,-0.30749446982925777,0.0,0.00044988683013567074,0.00044988683013567074,4.398715993191011e-05,-0.30745048266932584,-0.4987874062908776,small_position_player_sample|no_positional_adjustment|no_reliever_leverage_adjustment
briellis,Bri Ellis,Utah Talons,38,0.0,8.952299688497577,8.952299688497577,8.952299688497577,0.8753006573621622,0.49174607285905003,0.49174607285905003,0.04807989855185741,0.18087535595767337,0.31087071690137663,-0.2054970516295706,0.5163677685309472,27,0.0,0,0.02428368232660228,0.01889916790886942,0,0,0,0.0,0.0,0.01889916790886942,0.0431828502354717,0.004222152800184423,0.004222152800184423,1.0750113771600507,2,0.0,0.02191749853740743,1.5289148267784665,1.079233529960235,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079233529960235,no_positional_adjustment
