player_key,player,teams,PA,woba_denom,obp_numerator,woba_raw_numerator,H,1B,2B,3B,HR,BB,IBB,HBP,SO,ROE,SF,SH,reach_opportunities,wOBA,OBP,batting_runs,baserunning_runs,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,sb_cs_attempts,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,actual_double_plays,expected_double_plays,range_runs,fielding_opportunities,arm_runs,arm_runs_unshrunk,arm_opportunities,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,hitting_runs,wRAA,batting_war,baserunning_component_runs,baserunning_war,defense_runs,defense_war,defensive_war,offensive_war,position_war
sydneyromero,Sydney Romero,Oklahoma City Spark,59,59,25,27.510414961966276,22,12,4,1,5,1,0,2,6,3,1,0,31,0.4921768330118699,0.423728813559322,7.5069933223318355,-0.928721243370795,0.2828705918309051,-1.2115918352017,-1.6354707903242574,0.42387895512255713,0,49,-1.8846188974720928,8,3,1.024853343573757,0.5991803366042318,37,0.18933442903878966,0.9466721451939483,10,0,0,0,0.0,0.0,0.18933442903878966,0.0,0.010590806527635676,2.3710641020554175,7.5069933223318355,7.5069933223318355,0.733340074432605,-2.8133401408428877,-0.27482841394737034,0.7885147656430214,0.07702810594058775,0.07702810594058775,0.6911697851084966,0.7681978910490842
sydneysherrill,Sydney Sherrill,Oklahoma City Spark,53,53,21,20.39071090951443,13,6,5,0,2,7,0,1,7,0,1,0,25,0.40609957561810317,0.39622641509433965,2.4215355383173853,0.16082132122286788,0.22812144502492349,-0.0673001238020556,-0.6091509211131039,0.5418507973110482,0,32,0.6035567222408386,5,0,0.6739249203793509,0.5046314415381588,30,0.09670144456966087,0.6492811278248659,7,0,0,0,0.0,0.0,0.09670144456966087,0.0,0.009513775355333742,2.1299389391345276,2.4215355383173853,2.4215355383173853,0.23655396716927737,0.7643780434637064,0.0746702477569548,0.6013328861078197,0.058742759520678936,0.058742759520678936,0.5202221912827217,0.5789649508034006
haleylee,Haley Lee,Oklahoma City Spark,46,46,12,9.57137226601512,4,3,1,0,0,7,0,1,17,1,0,0,16,0.21963038050884554,0.2608695652173913,-6.024515792004955,-0.37012842230402637,0.14599772481595102,-0.5161261471199774,-0.16972096702423872,-0.3464051800957387,0,10,0.335454499201977,3,0,0.3757741988187125,0.10104071733858414,8,-0.031975411418678844,-0.24514482087653783,6,6,2,8,0.25,-0.06724168368690168,-0.09921709510558052,0.0,0.008257238987648154,1.848626249060156,-6.024515792004955,-6.024515792004955,-0.5885204195115742,-0.034673923102049364,-0.0033872119311581963,0.0018236222330035995,0.0001781452582499977,0.0001781452582499977,-0.4105131613974774,-0.41033501613922735
daniecacoffey,Danieca Coffey,Texas Volts,34,34,9,7.877659770539433,7,6,1,0,0,2,0,0,6,0,1,0,10,0.2445650203251857,0.2647058823529412,-3.64973575060584,-0.6144825069853769,-0.2238980456112305,-0.3905844613741464,-0.10295503120054628,-0.2876294301736001,1,19,0.1059885862137469,1,0,0.11901306240928883,-2.018708181388828,22,1.1729127145554326,2.552810025797118,34,0,0,0,0.0,0.0,1.1729127145554326,0.0,0.006103176643044287,1.366375923218376,-3.64973575060584,-3.64973575060584,-0.35653388408466674,-0.5084939207716299,-0.049673544879531566,-0.8457954668333956,-0.08262371950661297,-0.08262371950661297,-0.272133255452488,-0.354756974959101
jalialassiter,Jalia Lassiter,Texas Volts,39,37,12,11.948259540201555,7,4,0,1,2,4,0,1,7,0,0,2,12,0.34086229324833256,0.32432432432432434,-0.5962591151624191,0.7726685153579651,0.10949829361196327,0.6631702217460018,0.7222256311257994,-0.059055409379797585,0,18,0.0,0,0,0.0,-0.29364817195824305,27,-0.3838955439457287,-0.7776345633772453,39,0,0,0,0.0,0.0,-0.3838955439457287,0.0,0.007000702619962565,1.5673135589857845,-0.5962591151624191,-0.5962591151624191,-0.058247115072496816,0.7726685153579651,0.07548012396370872,-0.6775437159039718,-0.06618761169991608,-0.06618761169991608,0.1710239726252325,0.10483636092531642
rachelgarcia,Rachel Garcia,Texas Volts,16,16,5,3.9333523106891577,2,2,0,0,0,3,0,0,5,0,0,0,5,0.25948897053672443,0.3125,-1.491304405143912,-0.6947002389792895,0.04562428900498469,-0.7403245279842742,-0.28648402430898556,-0.4538405036752886,0,6,0.13722294928496964,1,0,0.15247322794492607,-0.14453506586181578,2,-0.02747303069999596,-0.30220333769995555,2,0,0,0,0.0,0.0,-0.02747303069999596,0.0,0.002872083126138488,0.6430004344557064,-1.491304405143912,-1.491304405143912,-0.14568193103576677,-0.5574772896943199,-0.05445861206546683,-0.17200809656181174,-0.01680305615304154,-0.01680305615304154,-0.13704681438984054,-0.1538498705428821
bubbanicklescamarena,Bubba Nickles-Camarena,Oklahoma City Spark,54,54,18,16.569648098727875,11,9,0,0,2,5,0,2,5,1,0,0,21,0.3238885260034536,0.3333333333333333,-1.7385683172087352,-0.45509057789806806,0.19162201382093572,-0.6467125917190037,-0.7642580102887786,0.1175454185697749,0,34,0.3469571524848435,3,0,0.3880965465504758,0.3217854174737539,61,1.8076978402901815,2.826119158763523,71,0,0,0,0.0,0.0,1.8076978402901815,0.0,0.009693280550717397,2.1701264662880093,-1.7385683172087352,-1.7385683172087352,-0.1698365463247797,-0.10813342541322457,-0.010563293563255067,2.1294832577639355,0.20802408417042692,0.20802408417042692,0.03254149451291683,0.24056557868334372
jessiwarren,Jessi Warren,Oklahoma City Spark,38,38,12,11.91224053223538,9,7,0,0,2,1,0,2,1,1,0,0,15,0.3308917165533153,0.3157894736842105,-0.9713191678681619,0.4379826604563014,0.13687286701495407,0.3011097934413473,0.47237523210098037,-0.17126543865963306,0,16,0.40230674802064514,3,0,0.44739042825171044,0.5754760385378639,22,0.025354148421035387,0.2281873357893185,5,0,0,0,0.0,0.0,0.025354148421035387,0.0,0.0068211974245789096,1.5271260318323028,-0.9713191678681619,-0.9713191678681619,-0.09488582715842826,0.8402894084769466,0.08208584594371304,0.6008301869588992,0.058693652053087374,0.058693652053087374,0.13704762447484328,0.19574127652793066
delaniewisz,Delanie Wisz,Oklahoma City Spark,55,55,22,24.573237564226144,17,7,4,1,5,5,0,0,5,3,1,0,27,0.4716020970225688,0.4,5.925980103549967,0.20684096491534154,-0.511065273137113,0.7179062380524546,-0.19536761874140107,0.9132738567938556,1,33,0.35791307839882525,3,0,0.39983320639021996,-0.11047767295756403,15,-0.049206046604770695,-0.21322620195400632,12,16,8,24,0.3333333333333333,0.2503109675397817,0.20110492093501103,0.0,0.009872785746101053,2.210313993441491,5.925980103549967,5.925980103549967,0.5788947057266839,0.5647540433141668,0.055169460578590145,0.09062724797744698,0.008853157305961078,0.008853157305961078,0.8509488587506877,0.8598020160566486
amariharper,Amari Harper,Oklahoma City Spark,46,46,22,19.458193203556625,12,8,3,0,1,3,0,7,5,1,0,0,23,0.4464992331858198,0.4782608695652174,3.8623051455365487,1.3352199673093559,0.2098717294229296,1.1253482378864264,0.9576478631168494,0.167700374769577,0,30,-0.6255002193756249,2,1,0.3408689745930999,0.83966173833547,23,-0.479844107688258,-1.0443665873215027,34,0,0,0,0.0,0.0,-0.479844107688258,0.0,0.008257238987648154,1.848626249060156,3.8623051455365487,3.8623051455365487,0.37729927566119187,0.7097197479337309,0.06933081067592368,0.35981763064721195,0.03514971663236096,0.03514971663236096,0.6280245563823706,0.6631742730147316
